segmentation_type,segment_name,customer_count,defaulted_customers,observed_default_rate,portfolio_default_rate,default_rate_lift,total_credit_line_exposure,total_current_balance_exposure,exposure_share,avg_current_balance_exposure,avg_balance_exposure,avg_utilization,avg_payment_amount,avg_recent_payment_to_bill_ratio,avg_months_with_payment_delay,avg_months_with_serious_delay,total_revenue_proxy_6mo,total_realized_loss_proxy,total_observed_risk_adjusted_profit_proxy,avg_revenue_proxy_6mo,avg_expected_loss_proxy,avg_risk_adjusted_profit_proxy,risk_profit_segment,recommended_action
Age Group,55+,1053,281.0,0.2669,0.2212,1.21,172660000.0,58029651.0,0.0377,55108.88,48320.4,0.4713,4691.14,0.2887,0.98,0.85,4579324.44,6570988.8,-1991664.36,4348.84,7736.77,-3387.93,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Age Group,45-54,4233,1013.0,0.2393,0.2212,1.08,722052000.0,225990267.0,0.147,53387.73,46018.7,0.4466,5412.54,1.3865,0.85,0.72,17531742.36,25633872.4,-8102130.04,4141.68,6607.65,-2465.96,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Age Group,35-44,9018,1971.0,0.2186,0.2212,0.99,1745597680.0,494556395.0,0.3217,54841.03,48340.99,0.3901,5864.87,0.2913,0.77,0.65,39234514.33,59477165.9,-20242651.56,4350.69,6339.33,-1988.64,Low-risk / low-profit,Maintain efficiently; do not over-invest acquisition spend
Age Group,25-34,13011,2641.0,0.203,0.2212,0.92,2220520000.0,678233575.0,0.4412,52127.71,46017.4,0.4053,5407.19,0.2261,0.81,0.68,53885919.46,70366650.0,-16480730.53,4141.57,5604.43,-1462.86,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Age Group,Under 25,2685,730.0,0.2719,0.2212,1.23,163700000.0,80571369.0,0.0524,30007.96,25811.62,0.5736,2667.99,0.2267,1.1,0.97,6237377.17,11121287.2,-4883910.03,2323.05,4210.61,-1887.56,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Credit Limit Segment,Very high limit,928,104.0,0.1121,0.2212,0.51,484270000.0,98128203.0,0.0638,105741.6,95765.7,0.1994,18384.63,0.5423,0.26,0.17,7998351.11,7648660.2,349690.91,8618.91,6439.42,2179.5,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Credit Limit Segment,High limit,10222,1583.0,0.1549,0.2212,0.7,2938587680.0,697063412.0,0.4534,68192.47,60354.54,0.2434,7946.01,0.2797,0.43,0.32,55524967.71,66310551.9,-10785584.19,5431.91,5607.98,-176.07,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Credit Limit Segment,Mid limit,14539,3394.0,0.2334,0.2212,1.06,1499690000.0,676729779.0,0.4402,46545.83,39952.0,0.5003,3662.1,0.555,0.91,0.79,52277596.92,85387707.1,-33110110.18,3595.68,5595.86,-2000.18,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Credit Limit Segment,Low limit,4311,1555.0,0.3607,0.2212,1.63,101982000.0,65459863.0,0.0426,15184.38,14608.53,0.6429,1560.79,0.2131,1.65,1.47,5667962.04,13823045.1,-8155083.06,1314.77,3161.62,-1846.86,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Over limit / very high utilization,2115,636.0,0.3007,0.2212,1.36,230833680.0,256550516.0,0.1669,121300.48,94216.48,1.1315,5690.21,0.0547,1.06,0.93,17934106.05,35918488.1,-17984382.05,8479.48,16999.06,-8519.57,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,High utilization,6680,1725.0,0.2582,0.2212,1.17,715130000.0,646124588.0,0.4203,96725.24,81193.56,0.9051,4611.33,0.0722,1.05,0.96,48813568.44,78413291.7,-29599723.26,7307.42,12580.14,-5272.72,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Medium utilization,7167,1709.0,0.2385,0.2212,1.08,1014026000.0,495819367.0,0.3225,69180.88,60505.54,0.4989,5113.94,0.1262,1.15,1.06,39027885.54,47903573.4,-8875687.86,5445.5,8656.67,-3211.17,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Low utilization,11440,1923.0,0.1681,0.2212,0.76,2519520000.0,138886786.0,0.0903,12140.45,14429.45,0.0615,6260.31,0.9,0.48,0.44,14856559.95,10368019.4,4488540.55,1298.65,1455.31,-156.66,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Utilization Segment,Negative or zero balance,2598,643.0,0.2475,0.2212,1.12,545020000.0,0.0,0.0,0.0,3578.64,0.0,2751.71,0.2128,0.76,0.11,836757.79,566591.7,270166.1,322.08,531.42,-209.35,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Repayment Behavior,Repeated serious delay,4886,2754.0,0.5637,0.2212,2.55,496746000.0,242523704.0,0.1578,49636.45,47810.07,0.5697,2688.94,0.1253,3.91,3.65,21024001.77,82078665.8,-61054664.03,4302.91,16168.92,-11866.02,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Repayment Behavior,Recent serious delay,3494,1126.0,0.3223,0.2212,1.46,451606000.0,176878617.0,0.1151,50623.53,45643.08,0.5128,4039.9,0.246,1.21,1.0,14352924.15,32710210.7,-18357286.55,4107.88,8825.55,-4717.67,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Repayment Behavior,Partial recent repayment,12005,1290.0,0.1075,0.2212,0.49,1948447680.0,1031657106.0,0.671,85935.62,71542.56,0.6311,5566.99,-0.0235,0.0,0.0,77298159.73,53873109.1,23425050.63,6438.83,4612.57,1826.26,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Repayment Behavior,Strong recent repayment,6151,709.0,0.1153,0.2212,0.52,1416900000.0,66040487.0,0.043,10736.54,13162.89,0.065,8762.53,1.7742,0.0,0.0,7286842.43,3429780.7,3857061.72,1184.66,910.34,274.32,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Repayment Behavior,Minor payment delay,1689,422.0,0.2499,0.2212,1.13,343910000.0,4402433.0,0.0029,2606.53,5006.25,0.0153,3219.94,0.1469,1.02,0.0,760999.39,590005.0,170994.4,450.56,750.49,-299.93,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Repayment Behavior,No recent payment or low activity,1775,335.0,0.1887,0.2212,0.85,366920000.0,15878910.0,0.0103,8945.86,4669.49,0.0796,2723.83,0.0,0.0,0.0,745950.3,488193.0,257757.3,420.25,528.77,-108.52,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Bill Statement Size,Very large bill,7500,1537.0,0.2049,0.2212,0.93,1645147680.0,1087515474.0,0.7074,145002.06,130097.11,0.7425,9943.71,0.0957,0.84,0.77,87815549.8,123041082.9,-35225533.1,11708.74,15996.74,-4288.0,Low-risk / low-profit,Maintain efficiently; do not over-invest acquisition spend
Bill Statement Size,Large bill,7500,1698.0,0.2264,0.2212,1.02,916386000.0,324676726.0,0.2112,43290.23,36076.16,0.6016,5321.25,0.1707,1.02,0.92,24351409.52,36332342.2,-11980932.69,3246.85,4900.59,-1653.73,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Bill Statement Size,Medium bill,7500,1628.0,0.2171,0.2212,0.98,1038096000.0,108538227.0,0.0706,14471.76,12281.39,0.3212,4373.25,0.278,0.87,0.75,8289938.04,12478055.7,-4188117.66,1105.33,1599.53,-494.2,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Bill Statement Size,Small bill,7500,1773.0,0.2364,0.2212,1.07,1424900000.0,16650830.0,0.0108,2220.11,1499.23,0.0305,1462.72,1.1023,0.61,0.39,1011980.41,1318483.5,-306503.09,134.93,212.65,-77.72,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Payment Amount,Very high payment,7500,992.0,0.1323,0.2212,0.6,1935577680.0,736569962.0,0.4791,98209.33,91655.14,0.4252,15147.57,0.8799,0.39,0.33,61867220.28,73514049.3,-11646829.02,8248.96,7273.75,975.21,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Payment Amount,High payment,7500,1351.0,0.1801,0.2212,0.81,1278450000.0,472268807.0,0.3072,62969.17,54431.11,0.4939,3755.93,0.3015,0.7,0.63,36740996.2,53569277.0,-16828280.8,4898.8,5882.91,-984.11,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Payment Amount,Medium payment,7500,1956.0,0.2608,0.2212,1.18,821556000.0,241582613.0,0.1571,32211.02,26434.61,0.5106,1672.77,0.244,1.09,0.97,17843361.77,34120104.6,-16276742.83,2379.11,4136.49,-1757.37,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Payment Amount,Low payment,7500,2337.0,0.3116,0.2212,1.41,988946000.0,86959875.0,0.0566,11594.65,7433.04,0.266,524.65,0.2214,1.15,0.91,5017299.53,11966533.4,-6949233.87,668.97,1389.68,-720.71,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Portfolio Monitoring Flag,1,12378,4489.0,0.3627,0.2212,1.64,1412879680.0,888720282.0,0.5781,71798.37,61405.01,0.6984,4021.17,0.1409,1.88,1.72,68406408.09,147902786.5,-79496378.41,5526.45,13361.47,-7835.02,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Portfolio Monitoring Flag,0,17622,2147.0,0.1218,0.2212,0.55,3611650000.0,648660975.0,0.4219,36809.73,33457.21,0.2311,6156.11,0.6019,0.1,0.0,53062469.68,25267177.8,27795291.89,3011.15,2445.78,565.37,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Approval Risk Band,High approval risk,8380,3880.0,0.463,0.2212,2.09,948352000.0,419402321.0,0.2728,50048.01,46906.56,0.5459,3252.22,0.1756,2.78,2.54,35376925.92,114788876.5,-79411950.58,4221.59,13030.84,-8809.25,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Approval Risk Band,Utilization watchlist,3989,608.0,0.1524,0.2212,0.69,462867680.0,467604554.0,0.3042,117223.5,91796.45,1.0178,5599.97,0.0671,0.0,0.0,32955845.17,33108753.6,-152908.42,8261.68,8394.92,-133.24,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Approval Risk Band,Lower approval risk,15942,1726.0,0.1083,0.2212,0.49,3269400000.0,645971949.0,0.4202,40520.13,36503.93,0.2545,6475.14,0.6501,0.0,0.0,52375107.28,24682329.2,27692778.09,3285.35,2371.31,914.04,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Approval Risk Band,Moderate approval risk,1689,422.0,0.2499,0.2212,1.13,343910000.0,4402433.0,0.0029,2606.53,5006.25,0.0153,3219.94,0.1469,1.02,0.0,760999.39,590005.0,170994.4,450.56,750.49,-299.93,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
